timestamp_utc	event	detail
2026-07-26T01:29:56Z	campaign_start	seed=exact-p100-20260726
2026-07-26T01:29:56Z	leg_start	stage=dumps tokens=512 pair=1 position=1 arm=off tag=p100exact-stitchrail-final-prefill-v2-dumps-c512-p1-off
2026-07-26T01:36:20Z	leg_complete	stage=dumps tokens=512 pair=1 position=1 arm=off tag=p100exact-stitchrail-final-prefill-v2-dumps-c512-p1-off
2026-07-26T01:36:20Z	leg_start	stage=dumps tokens=512 pair=1 position=2 arm=on tag=p100exact-stitchrail-final-prefill-v2-dumps-c512-p1-on
2026-07-26T01:42:43Z	leg_complete	stage=dumps tokens=512 pair=1 position=2 arm=on tag=p100exact-stitchrail-final-prefill-v2-dumps-c512-p1-on
2026-07-26T01:42:43Z	leg_start	stage=logits tokens=512 pair=1 position=1 arm=off tag=p100exact-stitchrail-final-prefill-v2-logits-c512-p1-off
2026-07-26T01:43:47Z	leg_complete	stage=logits tokens=512 pair=1 position=1 arm=off tag=p100exact-stitchrail-final-prefill-v2-logits-c512-p1-off
2026-07-26T01:43:47Z	leg_start	stage=logits tokens=512 pair=1 position=2 arm=on tag=p100exact-stitchrail-final-prefill-v2-logits-c512-p1-on
2026-07-26T01:44:55Z	leg_complete	stage=logits tokens=512 pair=1 position=2 arm=on tag=p100exact-stitchrail-final-prefill-v2-logits-c512-p1-on
2026-07-26T01:45:02Z	exactness_passed	report=/home/arian/llama.cpp-q36-moe/.worktrees/stitchrail-20260725/results/qwen36-35b-moe-pp-20260721/stitchrail-20260725/p100-exact-campaigns/stitchrail-final-prefill-v2/exactness.tsv
2026-07-26T01:45:02Z	leg_start	stage=performance tokens=2048 pair=1 position=1 arm=off tag=p100exact-stitchrail-final-prefill-v2-performance-c2048-p1-off
2026-07-26T01:46:11Z	leg_complete	stage=performance tokens=2048 pair=1 position=1 arm=off tag=p100exact-stitchrail-final-prefill-v2-performance-c2048-p1-off
2026-07-26T01:46:11Z	leg_start	stage=performance tokens=2048 pair=1 position=2 arm=on tag=p100exact-stitchrail-final-prefill-v2-performance-c2048-p1-on
2026-07-26T01:47:15Z	leg_complete	stage=performance tokens=2048 pair=1 position=2 arm=on tag=p100exact-stitchrail-final-prefill-v2-performance-c2048-p1-on
2026-07-26T01:47:15Z	leg_start	stage=performance tokens=2048 pair=2 position=1 arm=on tag=p100exact-stitchrail-final-prefill-v2-performance-c2048-p2-on
2026-07-26T01:48:18Z	leg_complete	stage=performance tokens=2048 pair=2 position=1 arm=on tag=p100exact-stitchrail-final-prefill-v2-performance-c2048-p2-on
2026-07-26T01:48:18Z	leg_start	stage=performance tokens=2048 pair=2 position=2 arm=off tag=p100exact-stitchrail-final-prefill-v2-performance-c2048-p2-off
2026-07-26T01:49:22Z	leg_complete	stage=performance tokens=2048 pair=2 position=2 arm=off tag=p100exact-stitchrail-final-prefill-v2-performance-c2048-p2-off
2026-07-26T01:49:22Z	leg_start	stage=performance tokens=2048 pair=3 position=1 arm=on tag=p100exact-stitchrail-final-prefill-v2-performance-c2048-p3-on
2026-07-26T01:50:26Z	leg_complete	stage=performance tokens=2048 pair=3 position=1 arm=on tag=p100exact-stitchrail-final-prefill-v2-performance-c2048-p3-on
2026-07-26T01:50:26Z	leg_start	stage=performance tokens=2048 pair=3 position=2 arm=off tag=p100exact-stitchrail-final-prefill-v2-performance-c2048-p3-off
2026-07-26T01:51:29Z	leg_complete	stage=performance tokens=2048 pair=3 position=2 arm=off tag=p100exact-stitchrail-final-prefill-v2-performance-c2048-p3-off
2026-07-26T01:51:30Z	leg_start	stage=performance tokens=2048 pair=4 position=1 arm=on tag=p100exact-stitchrail-final-prefill-v2-performance-c2048-p4-on
2026-07-26T01:52:33Z	leg_complete	stage=performance tokens=2048 pair=4 position=1 arm=on tag=p100exact-stitchrail-final-prefill-v2-performance-c2048-p4-on
2026-07-26T01:52:33Z	leg_start	stage=performance tokens=2048 pair=4 position=2 arm=off tag=p100exact-stitchrail-final-prefill-v2-performance-c2048-p4-off
2026-07-26T01:53:37Z	leg_complete	stage=performance tokens=2048 pair=4 position=2 arm=off tag=p100exact-stitchrail-final-prefill-v2-performance-c2048-p4-off
2026-07-26T01:53:37Z	leg_start	stage=performance tokens=2048 pair=5 position=1 arm=on tag=p100exact-stitchrail-final-prefill-v2-performance-c2048-p5-on
2026-07-26T01:54:41Z	leg_complete	stage=performance tokens=2048 pair=5 position=1 arm=on tag=p100exact-stitchrail-final-prefill-v2-performance-c2048-p5-on
2026-07-26T01:54:41Z	leg_start	stage=performance tokens=2048 pair=5 position=2 arm=off tag=p100exact-stitchrail-final-prefill-v2-performance-c2048-p5-off
2026-07-26T01:55:46Z	leg_complete	stage=performance tokens=2048 pair=5 position=2 arm=off tag=p100exact-stitchrail-final-prefill-v2-performance-c2048-p5-off
2026-07-26T01:55:46Z	leg_start	stage=performance tokens=8128 pair=1 position=1 arm=on tag=p100exact-stitchrail-final-prefill-v2-performance-c8128-p1-on
2026-07-26T01:56:58Z	leg_complete	stage=performance tokens=8128 pair=1 position=1 arm=on tag=p100exact-stitchrail-final-prefill-v2-performance-c8128-p1-on
2026-07-26T01:56:58Z	leg_start	stage=performance tokens=8128 pair=1 position=2 arm=off tag=p100exact-stitchrail-final-prefill-v2-performance-c8128-p1-off
2026-07-26T01:58:10Z	leg_complete	stage=performance tokens=8128 pair=1 position=2 arm=off tag=p100exact-stitchrail-final-prefill-v2-performance-c8128-p1-off
2026-07-26T01:58:10Z	leg_start	stage=performance tokens=8128 pair=2 position=1 arm=off tag=p100exact-stitchrail-final-prefill-v2-performance-c8128-p2-off
2026-07-26T01:59:22Z	leg_complete	stage=performance tokens=8128 pair=2 position=1 arm=off tag=p100exact-stitchrail-final-prefill-v2-performance-c8128-p2-off
2026-07-26T01:59:22Z	leg_start	stage=performance tokens=8128 pair=2 position=2 arm=on tag=p100exact-stitchrail-final-prefill-v2-performance-c8128-p2-on
2026-07-26T02:00:34Z	leg_complete	stage=performance tokens=8128 pair=2 position=2 arm=on tag=p100exact-stitchrail-final-prefill-v2-performance-c8128-p2-on
2026-07-26T02:00:34Z	leg_start	stage=performance tokens=8128 pair=3 position=1 arm=off tag=p100exact-stitchrail-final-prefill-v2-performance-c8128-p3-off
2026-07-26T02:01:46Z	leg_complete	stage=performance tokens=8128 pair=3 position=1 arm=off tag=p100exact-stitchrail-final-prefill-v2-performance-c8128-p3-off
2026-07-26T02:01:46Z	leg_start	stage=performance tokens=8128 pair=3 position=2 arm=on tag=p100exact-stitchrail-final-prefill-v2-performance-c8128-p3-on
2026-07-26T02:02:58Z	leg_complete	stage=performance tokens=8128 pair=3 position=2 arm=on tag=p100exact-stitchrail-final-prefill-v2-performance-c8128-p3-on
2026-07-26T02:02:58Z	campaign_complete	summary=/home/arian/llama.cpp-q36-moe/.worktrees/stitchrail-20260725/results/qwen36-35b-moe-pp-20260721/stitchrail-20260725/p100-exact-campaigns/stitchrail-final-prefill-v2/summary.md
